S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Axle status,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
1,1200310380,100172820.0,MEC841KBXX0177976,MEC841KBDTP201758,TDRDD26288163,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 06.23.55.000 PM,30-APR-26 01.00.55.000 PM,30-APR-26 07.58.31.000 PM,51317653.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,27-APR-26 10.51.52.000 AM,600134044,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,30-APR-26 08.10.22.000 AM,,,,,,54232561.0,C40087910013001C00,THUNDERBOLT-DAY,51317953.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
2,1010137030,100172821.0,MEC905MCXX0177977,MEC905MCDTP201759,TSRDD26288104,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 09.07.50.000 AM,30-APR-26 01.11.40.000 PM,30-APR-26 08.08.23.000 PM,,,,,,600133674,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,CLOSED,30-APR-26 08.14.40.000 AM,,,,,,54232772.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318355.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
3,1010137332,100172822.0,MEC862FCXX0177978,MEC862FCDTP201760,TSRDD26288161,V400862220Z500102,5528TS HT 4x2 3600 E6.1 SLC CHS RT HDPAW,5528TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 05.33.20.000 PM,30-APR-26 01.24.18.000 PM,30-APR-26 08.16.47.000 PM,51317770.0,E92695601430001,Engine 210KW OBD2 BS6 SAE-1 TT,CLOSED,27-APR-26 11.05.35.000 AM,600134103,T40072300210001,G131 3528C SAE1 NPTO 180 FLANGE RSI,CLOSED,30-APR-26 08.22.02.000 AM,,,,,,54231995.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51316997.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
4,1200310392,100172823.0,MEC954HBXX0177979,MEC954HBDTP201761,TDRDD26288155,V400954231N4VG203,3532CM8X45175E6.1DYC19.5SCHDAMTRGMTHDPYW,3532CM,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,Covered,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 04.14.01.000 PM,30-APR-26 01.37.12.000 PM,30-APR-26 08.30.05.000 PM,51317629.0,E92695601520001,Engine 320HP BS6 SAE 1 AMT,BOOKED,27-APR-26 11.15.01.000 AM,80001194929,T40072900010001,AMTCC 12 GEAR G211 SAE1 - PTO,BOOKED,30-APR-26 02.36.19.000 PM,,,,,,54232389.0,C40087910013001C00,THUNDERBOLT-DAY,51317648.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
5,1010137611,100172824.0,MEC862HCXX0177980,MEC862HCDTP201764,TSRDD26288143,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 02.27.24.000 PM,30-APR-26 01.52.24.000 PM,30-APR-26 08.41.42.000 PM,51318332.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,27-APR-26 11.21.44.000 AM,600134419,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,30-APR-26 08.26.59.000 AM,,,,,,54231378.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51315869.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
6,1200310381,100172825.0,MEC841KBXX0177981,MEC841KBDTP201765,TDRDD26288124,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 11.35.48.000 AM,30-APR-26 01.56.59.000 PM,30-APR-26 08.53.22.000 PM,51317651.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,27-APR-26 11.30.11.000 AM,600134043,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,30-APR-26 08.32.03.000 AM,,,,,,54232397.0,C40087910013001C00,THUNDERBOLT-DAY,51317664.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
7,1200310407,100172759.0,MEC368EEXX0177982,MEC368EEDTP201766,TDRDD26288078,V83136821P5321000,1924 CHS 6850 BS6.1 TR295 80M AS RET,1924 ,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,Order is in Download Queue,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,25-APR-26 10.28.49.000 PM,30-APR-26 02.13.10.000 PM,30-APR-26 08.59.14.000 PM,51317878.0,E40095800060001,Engine1623R180KW OBD2 SAE-2 BS6 Bus 2ALT,CLOSED,25-APR-26 06.17.18.000 PM,600134166,T40072400010001,G85 1624R BUS SAE2 IGR IMP Brg 3 pin N S,CLOSED,28-APR-26 03.46.41.000 PM,,,,,,,,,,,,1010137388.0,C83184200510001,DRIVER PLATFORM OF 16T BUS 5950WB OF RF,BOOKED,27-APR-26 03.55.37.714 PM,,,,
8,1010137612,100172828.0,MEC862HCXX0177984,MEC862HCDTP201768,TSRDD26288129,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 12.48.24.000 AM,30-APR-26 02.28.44.000 PM,30-APR-26 09.41.49.000 PM,51318330.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,BOOKED,27-APR-26 11.58.02.000 AM,600134418,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,30-APR-26 08.40.36.000 AM,,,,,,54232765.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318341.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
9,1010137482,100172829.0,MEC842FBXX0177985,MEC842FBDTP201769,TDRDD26288159,V400842221O140102,2828C 6X4 4575 E6.1 DYC CHS RT HD RMC AW,2828C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 04.42.29.000 PM,30-APR-26 02.45.29.000 PM,30-APR-26 09.51.44.000 PM,51318569.0,E92695600960001,Engine 210KW OBD2 BS6 SAE1 RMC PTO,BOOKED,27-APR-26 12.39.17.000 PM,600134561,T40072300040001,G131 4928T  SAE1 Non RSI 180 Flange,CLOSED,30-APR-26 10.30.31.000 AM,,,,,,54233357.0,C40087910013001C00,THUNDERBOLT-DAY,51318568.0,C40087910013001P02,THUNDERBOLT-DAY (ARTIC WHITE),,,,,,,,,
10,1010137613,100172830.0,MEC862HCXX0177986,MEC862HCDTP201770,TSRDD26288180,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 11.22.24.000 PM,30-APR-26 03.03.21.000 PM,30-APR-26 10.11.16.000 PM,51318328.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,27-APR-26 12.45.40.000 PM,600134417,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,30-APR-26 10.34.47.000 AM,,,,,,54232750.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318311.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
11,1010137031,100172831.0,MEC905MCXX0177987,MEC905MCDTP201771,TSRDD26288173,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 08.55.23.000 PM,30-APR-26 03.22.41.000 PM,30-APR-26 10.21.58.000 PM,,,,,,600133673,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,BOOKED,30-APR-26 10.38.18.000 AM,,,,,,54232753.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318317.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
