S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
1,1200310502,100172893.0,MEC841KBXX0178039,MEC841KBETP201826,TDRDD26288176,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,27-APR-26 09.23.57.000 PM,04-MAY-26 09.25.42.000 AM,04-MAY-26 03.39.07.000 PM,51318112.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,BOOKED,28-APR-26 01.19.28.000 AM,600134309,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,04-MAY-26 11.24.45.000 AM,,,,,,54232385.0,C40087910013001C00,THUNDERBOLT-DAY,51317640.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
2,1010137634,100172894.0,MEC862HCXX0178040,MEC862HCETP201827,TSRDD26288191,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 01.59.25.000 AM,04-MAY-26 09.51.28.000 AM,04-MAY-26 04.04.35.000 PM,51318286.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,28-APR-26 01.28.23.000 AM,600134396,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,BOOKED,04-MAY-26 07.32.45.000 PM,,,,,,54232747.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318305.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
3,1010137321,100172895.0,MEC897MCXX0178041,MEC897MCETP201828,TSRDD26288240,V400897220U500102,4232R 10X2 6575 E6.1SLC CHS RT HDP AW,4232R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 01.36.20.000 PM,04-MAY-26 10.03.07.000 AM,04-MAY-26 04.16.07.000 PM,,,,,,600134114,T40072000640001,G131 4228RMC SAE2 Cummins 180 flange,BOOKED,04-MAY-26 07.35.39.000 PM,,,,,,54232736.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318283.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
4,1200310503,100172896.0,MEC841KBXX0178042,MEC841KBETP201829,TDRDD26288201,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 08.17.52.000 AM,04-MAY-26 10.15.30.000 AM,04-MAY-26 04.25.11.000 PM,51318110.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,28-APR-26 01.40.07.000 AM,600134308,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,04-MAY-26 08.21.37.000 AM,,,,,,54232655.0,C40087910013001C00,THUNDERBOLT-DAY,51318121.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
5,1010137638,100172897.0,MEC862HCXX0178043,MEC862HCETP201830,TSRDD26288241,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 01.41.48.000 PM,04-MAY-26 10.26.59.000 AM,04-MAY-26 04.37.38.000 PM,51318278.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,28-APR-26 01.48.27.000 AM,600134392,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,BOOKED,04-MAY-26 07.41.42.000 PM,,,,,,54231993.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51316995.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
6,1010137635,100172898.0,MEC862HCXX0178044,MEC862HCETP201831,TSRDD26288244,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 02.01.08.000 PM,04-MAY-26 10.44.44.000 AM,04-MAY-26 04.45.40.000 PM,51318284.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,28-APR-26 01.56.14.000 AM,600134395,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,STARTED,04-MAY-26 07.57.22.000 PM,,,,,,54232735.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318281.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
7,1010137033,100172899.0,MEC905MCXX0178045,MEC905MCETP201832,TSRDD26288254,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 03.24.28.000 PM,04-MAY-26 11.05.27.000 AM,04-MAY-26 05.03.57.000 PM,,,,,,600133671,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,BOOKED,04-MAY-26 08.05.09.000 PM,,,,,,54232734.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318279.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
8,1200310507,100172900.0,MEC841KBXX0178046,MEC841KBETP201833,TDRDD26288216,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 10.22.00.000 AM,04-MAY-26 11.18.19.000 AM,04-MAY-26 05.15.37.000 PM,51318102.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,28-APR-26 02.04.25.000 AM,600134304,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,30-APR-26 11.58.28.000 AM,,,,,,54232653.0,C40087910013001C00,THUNDERBOLT-DAY,51318117.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
9,1200310505,100172902.0,MEC841KBXX0178047,MEC841KBETP201834,TDRDD26288250,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 02.45.34.000 PM,04-MAY-26 12.13.18.000 PM,04-MAY-26 09.44.21.000 PM,51318106.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,28-APR-26 07.04.11.000 AM,600134306,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,STARTED,04-MAY-26 08.10.36.000 PM,,,,,,54232607.0,C40087910013001C00,THUNDERBOLT-DAY,51318025.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
10,1010137636,100172903.0,MEC862HCXX0178048,MEC862HCETP201835,TSRDD26288256,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,COVERED,$$$$$$$$$$$$$$$,28-APR-26 03.37.21.000 PM,04-MAY-26 12.26.30.000 PM,04-MAY-26 10.00.11.000 PM,51318282.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,28-APR-26 07.14.01.000 AM,600134394,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,STARTED,04-MAY-26 08.15.16.000 PM,,,,,,54232875.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318539.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
